community link,community title,jupiter id,hydra noid,fedora3 uuid,Scholaris Link
https://era.library.ualberta.ca/communities/9e3a06c3-ae6a-4399-9a73-bd8849119898,"Science, Technology & Society (STS) Program",9e3a06c3-ae6a-4399-9a73-bd8849119898,,,https://ualberta-dev.scholaris.ca/handle/123456789/1570
https://era.library.ualberta.ca/communities/9f19a931-70d4-4d38-a069-635740e98a9f,"Economics, Department of",9f19a931-70d4-4d38-a069-635740e98a9f,44558r39r,uuid:7323404d-9efa-4883-bae6-a079ed0854c4,https://ualberta-dev.scholaris.ca/handle/123456789/1572
https://era.library.ualberta.ca/communities/9f2b0790-be52-4dd5-9f46-bd9f597fdb8a,"Biomedical Engineering, Department of",9f2b0790-be52-4dd5-9f46-bd9f597fdb8a,44558r707,uuid:5b04c891-e928-4ae2-9078-67496f6c7488,https://ualberta-dev.scholaris.ca/handle/123456789/1579
https://era.library.ualberta.ca/communities/a35f2407-33bb-416e-8251-f37fae92caa1,Equity Diversity Inclusion Community (EDI),a35f2407-33bb-416e-8251-f37fae92caa1,44558r72s,uuid:a7186baa-bf47-4bca-ad66-d9471eaa23d3,https://ualberta-dev.scholaris.ca/handle/123456789/1582
https://era.library.ualberta.ca/communities/a37ee66b-06e4-437b-be2d-8a420623a266,"Surgery, Department of",a37ee66b-06e4-437b-be2d-8a420623a266,44558r74b,uuid:c0897213-c68b-454b-b3da-0f709b45d717,https://ualberta-dev.scholaris.ca/handle/123456789/1586
https://era.library.ualberta.ca/communities/a4cc688d-c308-4ef5-a082-5e526b13227a,"Educational Psychology, Department of",a4cc688d-c308-4ef5-a082-5e526b13227a,44558r066,uuid:4c5cb805-91d6-4613-9149-5ceefa219e17,https://ualberta-dev.scholaris.ca/handle/123456789/1590
https://era.library.ualberta.ca/communities/a590dc0a-881d-45fc-b4aa-279a83c09dc1,Pan American Current Research On Fluid Inclusions Conference (PACROFI),a590dc0a-881d-45fc-b4aa-279a83c09dc1,,,https://ualberta-dev.scholaris.ca/handle/123456789/1596
https://era.library.ualberta.ca/communities/a6d53aff-84e0-4f4f-b479-6de4f1240995,"Resource Economics and Environmental Sociology, Department of",a6d53aff-84e0-4f4f-b479-6de4f1240995,44558r41s,uuid:2fed87e0-22a9-4489-8f30-42c08ed3bb30,https://ualberta-dev.scholaris.ca/handle/123456789/1598
https://era.library.ualberta.ca/communities/a7519817-7275-4467-9826-d9a4d34bf18c,University of Alberta Library,a7519817-7275-4467-9826-d9a4d34bf18c,44558r422,uuid:c2cbf979-e316-4a80-a43c-3852814bf307,https://ualberta-dev.scholaris.ca/handle/123456789/1606
https://era.library.ualberta.ca/communities/a9729809-1176-46ad-87e7-be7f2f0f6ac0,Research Impact Canada,a9729809-1176-46ad-87e7-be7f2f0f6ac0,,,https://ualberta-dev.scholaris.ca/handle/123456789/1620
https://era.library.ualberta.ca/communities/aaf9f13b-88a9-4b0e-91cf-0194df2e9278,"Renewable Resources, Department of",aaf9f13b-88a9-4b0e-91cf-0194df2e9278,44558r198,uuid:cab182aa-8755-4c87-a424-0ba4439b39dc,https://ualberta-dev.scholaris.ca/handle/123456789/1622
https://era.library.ualberta.ca/communities/ad0096cd-ee35-45e4-a669-5d61f4795d3d,Tracking Change,ad0096cd-ee35-45e4-a669-5d61f4795d3d,,,https://ualberta-dev.scholaris.ca/handle/123456789/1629
https://era.library.ualberta.ca/communities/af206a06-78d3-4c9b-a152-df982a221121,"Modern Languages and Cultural Studies, Department of",af206a06-78d3-4c9b-a152-df982a221121,44558r490,uuid:becb3554-f5fc-404f-a88d-acd72b18a48e,https://ualberta-dev.scholaris.ca/handle/123456789/1638
https://era.library.ualberta.ca/communities/b272150b-a674-4b76-92b8-f04da4adb5e1,"Nursing, Faculty of",b272150b-a674-4b76-92b8-f04da4adb5e1,44558r597,uuid:5cb782df-9d51-4e56-81c0-8ee4bb3cdc7d,https://ualberta-dev.scholaris.ca/handle/123456789/1644
https://era.library.ualberta.ca/communities/b41cdbfd-6af2-4a13-8ba6-59725565d445,University of Alberta Libraries Licensed Resources,b41cdbfd-6af2-4a13-8ba6-59725565d445,wh246v792,uuid:11274e20-0426-4e80-84f4-bef79dbd6633,https://ualberta-dev.scholaris.ca/handle/123456789/1653
https://era.library.ualberta.ca/communities/b8469872-8012-47c1-a630-96f0f5f26238,Augustana Campus,b8469872-8012-47c1-a630-96f0f5f26238,b37720c72s,,https://ualberta-dev.scholaris.ca/handle/123456789/1732
https://era.library.ualberta.ca/communities/b9bce94a-c976-43b0-853d-58b48797b3d1,School of Library and Information Studies,b9bce94a-c976-43b0-853d-58b48797b3d1,44558r69g,uuid:e8c2f402-16a6-414f-902a-6d05cf0cdd98,https://ualberta-dev.scholaris.ca/handle/123456789/1737
https://era.library.ualberta.ca/communities/bcdd5ed7-b74b-4947-891c-91f9c6499c8a,The Alberta Consortium for Motivation and Emotion (ACME),bcdd5ed7-b74b-4947-891c-91f9c6499c8a,,,https://ualberta-dev.scholaris.ca/handle/123456789/1746
https://era.library.ualberta.ca/communities/bd42b4f4-8717-47c3-b6f5-700d3d887ab6,Canadian Patient Safety Institute,bd42b4f4-8717-47c3-b6f5-700d3d887ab6,,,https://ualberta-dev.scholaris.ca/handle/123456789/1751
https://era.library.ualberta.ca/communities/bfb75d06-72cf-40c3-9560-6b8f599a4b05,Centre for Teaching and Learning (CTL),bfb75d06-72cf-40c3-9560-6b8f599a4b05,,,https://ualberta-dev.scholaris.ca/handle/123456789/1756
https://era.library.ualberta.ca/communities/c1a957c5-33ab-4464-a514-4e2e56d22d9a,"Emergency Medicine, Department of",c1a957c5-33ab-4464-a514-4e2e56d22d9a,44558q97f,uuid:911a333a-d2c3-4fbc-8e71-07832f653327,https://ualberta-dev.scholaris.ca/handle/123456789/1761
https://era.library.ualberta.ca/communities/c38750c9-823e-4de9-a981-33ed17bc8da1,Writing Stick 2017,c38750c9-823e-4de9-a981-33ed17bc8da1,bz60d020f,,https://ualberta-dev.scholaris.ca/handle/123456789/1763
https://era.library.ualberta.ca/communities/c6ae5815-1caa-4ce4-8b81-f65cc8c07316,Roy Berg Kinsella Research Ranch,c6ae5815-1caa-4ce4-8b81-f65cc8c07316,b8623hx73s,,https://ualberta-dev.scholaris.ca/handle/123456789/1765
https://era.library.ualberta.ca/communities/c6c73bf5-eb71-4d42-9673-cd52d1719654,InSciTE & Science 100,c6c73bf5-eb71-4d42-9673-cd52d1719654,44558r38g,uuid:c1f1baa4-fd6b-471d-8a2f-be6e275fc4d0,https://ualberta-dev.scholaris.ca/handle/123456789/1767
https://era.library.ualberta.ca/communities/c6e9f819-6485-44ed-ade3-ec13296574f3,University of Alberta Celebration of Research and Innovation,c6e9f819-6485-44ed-ade3-ec13296574f3,44558r554,uuid:096ec8ee-3946-493d-8b42-0bc03f238552,https://ualberta-dev.scholaris.ca/handle/123456789/1770
https://era.library.ualberta.ca/communities/c8c6b406-4c04-47be-a0bd-b7ff7244f9ee,"Physics, Department of",c8c6b406-4c04-47be-a0bd-b7ff7244f9ee,bk643b132z,,https://ualberta-dev.scholaris.ca/handle/123456789/1772
https://era.library.ualberta.ca/communities/cad320a6-f29b-46eb-a357-42f9f89ac507,Supporting Indigenous Language Revitalization,cad320a6-f29b-46eb-a357-42f9f89ac507,,,https://ualberta-dev.scholaris.ca/handle/123456789/1776
https://era.library.ualberta.ca/communities/cc50c570-ea2d-4a31-8c6c-507df717540e,Comparative Literature,cc50c570-ea2d-4a31-8c6c-507df717540e,44558r180,uuid:0deb2bcb-9e96-43d6-a7c6-2eb487cf2ffc,https://ualberta-dev.scholaris.ca/handle/123456789/1778
https://era.library.ualberta.ca/communities/cdc7ee32-ff6d-4bf6-8b38-f6d0e9367b3a,Opening Up Copyright (OUC),cdc7ee32-ff6d-4bf6-8b38-f6d0e9367b3a,,,https://ualberta-dev.scholaris.ca/handle/123456789/1781
